,"Savings Rate","DPI"
"Australia",11.43,2329.68
"Austria",12.07,1507.99
"Belgium",13.17,2108.47
"Bolivia",5.75,189.13
"Brazil",12.88,728.47
"Canada",8.79,2982.88
"Chile",0.6,662.86
"China",11.9,289.52
"Colombia",4.98,276.65
"Costa Rica",10.78,471.24
"Denmark",16.85,2496.53
"Ecuador",3.59,287.77
"Finland",11.24,1681.25
"France",12.64,2213.82
"Germany",12.55,2457.12
"Greece",10.67,870.85
"Guatamala",3.01,289.71
"Honduras",7.7,232.44
"Iceland",1.27,1900.1
"India",9,88.94
"Ireland",11.34,1139.95
"Italy",14.28,1390
"Japan",21.1,1257.28
"Korea",3.98,207.68
"Luxembourg",10.35,2449.39
"Malta",15.48,601.05
"Norway",10.25,2231.03
"Netherlands",14.65,1740.7
"New Zealand",10.67,1487.52
"Nicaragua",7.3,325.54
"Panama",4.44,568.56
"Paraguay",2.02,220.56
"Peru",12.7,400.06
"Philippines",12.78,152.01
"Portugal",12.49,579.51
"South Africa",11.14,651.11
"South Rhodesia",13.3,250.96
"Spain",11.77,768.79
"Sweden",6.86,3299.49
"Switzerland",14.13,2630.96
"Turkey",5.13,389.66
"Tunisia",2.81,249.87
"United Kingdom",7.81,1813.93
"United States",7.56,4001.89
"Venezuela",9.22,813.39
"Zambia",18.56,138.33
"Jamaica",7.72,380.47
"Uruguay",9.24,766.54
"Libya",8.89,123.58
"Malaysia",4.71,242.69
